no_results_Ranked	c_name	l_name	no_results	query	kw
263.0	Burundi	French	7	SDG	1
263.0	São Tomé & Príncipe	Portuguese	7	SDG	1
263.0	Mayotte	French	7	SDG	1
267.5	Niue	English	6	SDG	1
267.5	Eritrea	English	6	SDG	1
267.5	Montserrat	English	6	SDG	1
267.5	Serbia	Slovak	6	SDG	1
270.5	Tokelau	English	5	SDG	1
270.5	French Guiana	French	5	SDG	1
272.5	French Southern Territories	French	4	SDG	1
272.5	Guinea-Bissau	Portuguese	4	SDG	1
276.5	Western Sahara	Arabic	3	SDG	1
276.5	Comoros	French	3	SDG	1
276.5	Mauritania	Arabic	3	SDG	1
276.5	Marshall Islands	English	3	SDG	1
276.5	Uganda	Swahili	3	SDG	1
276.5	Wallis & Futuna	French	3	SDG	1
281.5	St. Pierre & Miquelon	French	2	SDG	1
281.5	Falkland Islands	English	2	SDG	1
281.5	Cocos (Keeling) Islands	English	2	SDG	1
281.5	Vanuatu	French	2	SDG	1
285.5	Congo - Kinshasa	Swahili	0	SDG	1
285.5	Syria	French	0	SDG	1
285.5	North Korea	Korean	0	SDG	1
285.5	Comoros	Arabic	0	SDG	1
