TLD	Number of occurrences	Language code
fxexchangerate.com	2	my
buildersguide.com.mm	2	my
un.org	1	my
yangondirectory.com	1	my
themimu.info	1	my
currency-table.com	1	my
csrfi.com	1	my
moi.gov.mm	1	my
facebook.com	1	my
undp.org	1	my
