no_results_Ranked	c_name	l_name	no_results	query	kw
266.0	Eritrea	English	5	Sustainable Development Goals	2
266.0	Norfolk Island	English	5	Sustainable Development Goals	2
266.0	Somalia	Arabic	5	أهداف التنمية المستدامة	2
266.0	Tokelau	English	5	Sustainable Development Goals	2
266.0	Niue	English	5	Sustainable Development Goals	2
271.0	São Tomé & Príncipe	Portuguese	4	Objetivos de Desenvolvimento Sustentável	2
276.0	Western Sahara	Arabic	3	أهداف التنمية المستدامة	2
276.0	Austria	Croatian	3	Ciljevi održivog razvoja	2
276.0	Chad	Arabic	3	أهداف التنمية المستدامة	2
276.0	Cyprus	Greek	3	Στόχοι για τη βιώσιμη ανάπτυξη	2
276.0	Vatican City	Latin	3	Proposita progressus durabilis	2
276.0	Marshall Islands	English	3	Sustainable Development Goals	2
276.0	Montserrat	English	3	Sustainable Development Goals	2
276.0	India	Marathi	3	शाश्वत विकास ध्येये	2
276.0	Guinea-Bissau	Portuguese	3	Objetivos de Desenvolvimento Sustentável	2
283.5	Tuvalu	English	2	Sustainable Development Goals	2
283.5	Macau SAR China	Portuguese	2	Objetivos de Desenvolvimento Sustentável	2
283.5	Austria	Hungarian	2	Fenntartható fejlődési célok	2
283.5	Myanmar (Burma)	Burmese	2	စဉ်ဆက်မပြတ် ဖွံ့ဖြိုးတိုးတက်မှု ပန်းတိုင်	2
283.5	India	Nepali	2	दिगो विकासका लक्ष्यहरू	2
283.5	Austria	Slovenian	2	Cilji trajnostnega razvoja	2
288.5	British Indian Ocean Territory	English	0	Sustainable Development Goals	2
288.5	Singapore	Tamil	0	வளங்குன்றா வளர்ச்சிக் குறிக்கோள்கள்	2
288.5	Svalbard & Jan Mayen	Norwegian Bokmål	0	Bærekraftige utviklingsmål	2
288.5	North Korea	Korean	0	지속가능 개발 목표	2
